TITLE,CONTENT,RATING,POSTEDBYID,PRODUCTID
TEST REVIEW Lazy Albatross,TEST REVIEW WITH RANDOM RATING,4,1,34
TEST REVIEW Agile Emu,TEST REVIEW WITH RANDOM RATING,3,1,27
TEST REVIEW Cuddly Gaur,TEST REVIEW WITH RANDOM RATING,3,1,36
TEST REVIEW Furry Porcupine,TEST REVIEW WITH RANDOM RATING,5,1,37
TEST REVIEW Tame Bison,TEST REVIEW WITH RANDOM RATING,3,1,47
TEST REVIEW Cold Sparrow,TEST REVIEW WITH RANDOM RATING,3,1,41
TEST REVIEW Malicious Donkey,TEST REVIEW WITH RANDOM RATING,3,1,27
TEST REVIEW Bossy Chinchilla,TEST REVIEW WITH RANDOM RATING,5,1,45
TEST REVIEW Agile Alligator,TEST REVIEW WITH RANDOM RATING,3,1,34
TEST REVIEW Herbivorous Capybara,TEST REVIEW WITH RANDOM RATING,5,1,28
TEST REVIEW Agile Louse,TEST REVIEW WITH RANDOM RATING,4,1,47
TEST REVIEW Playful Dotterel,TEST REVIEW WITH RANDOM RATING,4,1,41
TEST REVIEW Noisy Octopus,TEST REVIEW WITH RANDOM RATING,3,1,47
TEST REVIEW Large Snake,TEST REVIEW WITH RANDOM RATING,4,1,46
TEST REVIEW Lazy Magpie,TEST REVIEW WITH RANDOM RATING,5,1,41
TEST REVIEW Fierce Rat,TEST REVIEW WITH RANDOM RATING,4,1,38
TEST REVIEW Grumpy Mantis,TEST REVIEW WITH RANDOM RATING,5,1,37
TEST REVIEW Aggressive Eagle,TEST REVIEW WITH RANDOM RATING,4,1,40
TEST REVIEW Sassy Buffalo,TEST REVIEW WITH RANDOM RATING,4,1,46
TEST REVIEW Maternal Chinchilla,TEST REVIEW WITH RANDOM RATING,4,1,33
TEST REVIEW Candid Rook,TEST REVIEW WITH RANDOM RATING,3,1,42
TEST REVIEW Stinky Dinosaur,TEST REVIEW WITH RANDOM RATING,4,1,44
TEST REVIEW Ferocious Gaur,TEST REVIEW WITH RANDOM RATING,3,1,28
TEST REVIEW Carnivorous Magpie,TEST REVIEW WITH RANDOM RATING,5,1,47
